group	x	y	showSelected1
1	10230	24	414
1	10230	24	2120
1	10230	24	2103
1	10230	24	2990
1	10230	24	2474
1	10230	24	3113
1	10230	24	130
1	10230	24	3583
2	10280	24	414
2	10280	24	2103
2	10280	24	1039
2	10280	24	130
2	10280	24	2541
2	10280	24	2300
2	10280	24	3464
2	10280	24	1836
2	10280	24	3439
2	10280	24	362
2	10280	24	231
2	10280	24	525
2	10280	24	145
2	10280	24	3410
2	10280	24	2211
2	10280	24	995
2	10280	24	1553
3	10280	74	414
3	10280	74	305
3	10280	74	646
3	10280	74	62
3	10280	74	29
3	10280	74	2991
3	10280	74	2988
3	10280	74	2350
3	10280	74	362
3	10280	74	2300
3	10280	74	491
3	10280	74	2173
3	10280	74	2615
6	10330	74	62
6	10330	74	220
6	10330	74	29
6	10330	74	646
6	10330	74	685
6	10330	74	3112
6	10330	74	414
6	10330	74	68
6	10330	74	2317
6	10330	74	130
6	10330	74	2173
6	10330	74	491
6	10330	74	1993
6	10330	74	3173
6	10330	74	44
6	10330	74	616
6	10330	74	3384
6	10330	74	1990
6	10330	74	110
6	10330	74	1991
6	10330	74	2455
6	10330	74	1683
6	10330	74	1351
6	10330	74	2034
6	10330	74	3036
6	10330	74	3183
6	10330	74	169
6	10330	74	2717
6	10330	74	143
6	10330	74	3639
6	10330	74	174
6	10330	74	2022
6	10330	74	341
6	10330	74	3379
6	10330	74	24
6	10330	74	1294
6	10330	74	531
6	10330	74	2875
5	10330	124	62
5	10330	124	220
5	10330	124	3508
5	10330	124	1051
5	10330	124	23
5	10330	124	262
5	10330	124	526
5	10330	124	3263
5	10330	124	1526
5	10330	124	3387
5	10330	124	130
5	10330	124	750
5	10330	124	44
8	10380	124	220
8	10380	124	23
8	10380	124	1135
8	10380	124	798
8	10380	124	1303
8	10380	124	651
8	10380	124	1748
8	10380	124	397
8	10380	124	3106
8	10380	124	3305
8	10380	124	750
8	10380	124	3107
8	10380	124	3268
8	10380	124	1730
8	10380	124	907
8	10380	124	3288
8	10380	124	595
8	10380	124	78
8	10380	124	3193
8	10380	124	529
8	10380	124	44
8	10380	124	1127
8	10380	124	2244
8	10380	124	425
8	10380	124	550
8	10380	124	3208
8	10380	124	738
8	10380	124	16
8	10380	124	2273
8	10380	124	3170
8	10380	124	2376
8	10380	124	168
8	10380	124	1136
8	10380	124	1715
8	10380	124	3498
8	10380	124	829
8	10380	124	1760
8	10380	124	1588
8	10380	124	3609
8	10380	124	1571
8	10380	124	1359
8	10380	124	2667
8	10380	124	1861
8	10380	124	564
8	10380	124	2256
8	10380	124	1472
8	10380	124	361
8	10380	124	316
8	10380	124	675
8	10380	124	3194
9	10380	174	23
9	10380	174	576
9	10380	174	479
9	10380	174	92
9	10380	174	389
9	10380	174	1135
9	10380	174	1554
9	10380	174	173
9	10380	174	2662
9	10380	174	1748
9	10380	174	299
9	10380	174	397
9	10380	174	991
9	10380	174	78
9	10380	174	3305
9	10380	174	595
13	10430	174	389
13	10430	174	779
13	10430	174	92
13	10430	174	1107
13	10430	174	272
13	10430	174	1554
13	10430	174	514
13	10430	174	299
13	10430	174	71
13	10430	174	2758
13	10430	174	2271
13	10430	174	2646
13	10430	174	639
13	10430	174	2172
13	10430	174	1105
13	10430	174	762
13	10430	174	3672
13	10430	174	3097
13	10430	174	3105
13	10430	174	78
13	10430	174	325
13	10430	174	2562
13	10430	174	1700
13	10430	174	576
13	10430	174	2030
13	10430	174	595
13	10430	174	1231
13	10430	174	2375
13	10430	174	2979
13	10430	174	2348
13	10430	174	1031
13	10430	174	937
13	10430	174	2802
13	10430	174	286
13	10430	174	1370
13	10430	174	23
13	10430	174	1724
13	10430	174	3258
13	10430	174	1488
13	10430	174	3249
13	10430	174	2526
13	10430	174	594
13	10430	174	3178
13	10430	174	991
13	10430	174	281
13	10430	174	1983
13	10430	174	499
13	10430	174	2710
13	10430	174	214
13	10430	174	890
14	10430	224	389
14	10430	224	1107
14	10430	224	272
14	10430	224	429
14	10430	224	71
14	10430	224	286
14	10430	224	3202
14	10430	224	153
14	10430	224	160
14	10430	224	3311
14	10430	224	3392
14	10430	224	1669
14	10430	224	285
14	10430	224	3098
14	10430	224	2100
14	10430	224	678
14	10430	224	2726
14	10430	224	3240
14	10430	224	1911
14	10430	224	2487
14	10430	224	513
19	10480	224	160
19	10480	224	2571
19	10480	224	232
19	10480	224	249
19	10480	224	2974
19	10480	224	626
19	10480	224	117
19	10480	224	153
