x	y	clickSelects	xmin	xmax	ymin	ymax
10230	24	10250,0	10205	10255	-1	49
10280	24	10300,0	10255	10305	-1	49
10280	74	10300,50	10255	10305	49	99
10330	74	10350,50	10305	10355	49	99
10330	124	10350,100	10305	10355	99	149
10380	124	10400,100	10355	10405	99	149
10380	174	10400,150	10355	10405	149	199
10430	174	10450,150	10405	10455	149	199
10430	224	10450,200	10405	10455	199	249
10480	224	10500,200	10455	10505	199	249
10480	274	10500,250	10455	10505	249	299
10530	274	10550,250	10505	10555	249	299
10530	324	10550,300	10505	10555	299	349
10580	324	10600,300	10555	10605	299	349
10580	374	10600,350	10555	10605	349	399
10630	374	10650,350	10605	10655	349	399
10630	424	10650,400	10605	10655	399	449
10680	424	10700,400	10655	10705	399	449
10680	474	10700,450	10655	10705	449	499
10330	24	10350,0	10305	10355	-1	49
10380	74	10400,50	10355	10405	49	99
10430	124	10450,100	10405	10455	99	149
10480	174	10500,150	10455	10505	149	199
10530	224	10550,200	10505	10555	199	249
10580	274	10600,250	10555	10605	249	299
10630	324	10650,300	10605	10655	299	349
10680	374	10700,350	10655	10705	349	399
10730	424	10750,400	10705	10755	399	449
10380	24	10400,0	10355	10405	-1	49
10480	124	10500,100	10455	10505	99	149
10580	224	10600,200	10555	10605	199	249
10430	74	10450,50	10405	10455	49	99
10530	174	10550,150	10505	10555	149	199
10630	274	10650,250	10605	10655	249	299
10680	324	10700,300	10655	10705	299	349
10730	374	10750,350	10705	10755	349	399
10430	24	10450,0	10405	10455	-1	49
10480	74	10500,50	10455	10505	49	99
10530	124	10550,100	10505	10555	99	149
10580	174	10600,150	10555	10605	149	199
10630	224	10650,200	10605	10655	199	249
10680	274	10700,250	10655	10705	249	299
10730	324	10750,300	10705	10755	299	349
10780	374	10800,350	10755	10805	349	399
10480	24	10500,0	10455	10505	-1	49
10580	124	10600,100	10555	10605	99	149
10680	224	10700,200	10655	10705	199	249
10780	324	10800,300	10755	10805	299	349
10530	74	10550,50	10505	10555	49	99
10630	174	10650,150	10605	10655	149	199
10730	274	10750,250	10705	10755	249	299
10530	24	10550,0	10505	10555	-1	49
10580	74	10600,50	10555	10605	49	99
10630	124	10650,100	10605	10655	99	149
10680	174	10700,150	10655	10705	149	199
10730	224	10750,200	10705	10755	199	249
10780	274	10800,250	10755	10805	249	299
10830	324	10850,300	10805	10855	299	349
10580	24	10600,0	10555	10605	-1	49
10680	124	10700,100	10655	10705	99	149
10780	224	10800,200	10755	10805	199	249
10630	74	10650,50	10605	10655	49	99
10730	174	10750,150	10705	10755	149	199
10830	274	10850,250	10805	10855	249	299
10630	24	10650,0	10605	10655	-1	49
10680	74	10700,50	10655	10705	49	99
10730	124	10750,100	10705	10755	99	149
10780	174	10800,150	10755	10805	149	199
10830	224	10850,200	10805	10855	199	249
10880	274	10900,250	10855	10905	249	299
10680	24	10700,0	10655	10705	-1	49
10780	124	10800,100	10755	10805	99	149
10880	224	10900,200	10855	10905	199	249
10730	74	10750,50	10705	10755	49	99
10830	174	10850,150	10805	10855	149	199
10730	24	10750,0	10705	10755	-1	49
10780	74	10800,50	10755	10805	49	99
10830	124	10850,100	10805	10855	99	149
10880	174	10900,150	10855	10905	149	199
10930	224	10950,200	10905	10955	199	249
10780	24	10800,0	10755	10805	-1	49
10880	124	10900,100	10855	10905	99	149
10830	74	10850,50	10805	10855	49	99
10930	174	10950,150	10905	10955	149	199
10830	24	10850,0	10805	10855	-1	49
10880	74	10900,50	10855	10905	49	99
10930	124	10950,100	10905	10955	99	149
10980	174	11000,150	10955	11005	149	199
10880	24	10900,0	10855	10905	-1	49
10980	124	11000,100	10955	11005	99	149
10930	74	10950,50	10905	10955	49	99
10930	24	10950,0	10905	10955	-1	49
10980	74	11000,50	10955	11005	49	99
11030	124	11050,100	11005	11055	99	149
10980	24	11000,0	10955	11005	-1	49
11030	74	11050,50	11005	11055	49	99
11030	24	11050,0	11005	11055	-1	49
11080	74	11100,50	11055	11105	49	99
11080	24	11100,0	11055	11105	-1	49
11130	24	11150,0	11105	11155	-1	49
