group	fill	clickSelects
1	#FFFFFF	84
2	#FFFFFF	84
3	#FFFFFF	84
4	#FFFFFF	84
5	#FFFFFF	84
6	#FFFFFF	84
7	#FFFFFF	84
8	#FFFFFF	84
9	#FFFFFF	84
10	#FFFFFF	84
11	#FFFFFF	325
12	#FFFFFF	325
13	#FFFFFF	325
14	#FFFFFF	84
15	#FFFFFF	325
16	#FFFFFF	325
17	#FFFFFF	325
18	#FFFFFF	325
19	#FFFFFF	1395
20	#FFFFFF	1395
21	#FFFFFF	1395
22	#FFFFFF	325
23	#FFFFFF	325
24	#FFFFFF	325
25	#FFFFFF	84
28	#FFFFFF	1077
29	#FFFFFF	1077
30	#FFFFFF	214
31	#FFFFFF	214
32	#FFFFFF	214
33	#FFFFFF	214
34	#FFFFFF	214
35	#FFFFFF	214
36	#FFFFFF	84
37	#FFFFFF	214
38	#FFFFFF	214
39	#FFFFFF	214
40	#FFFFFF	214
41	#FFFFFF	325
42	#FFFFFF	214
43	#FFFFFF	325
44	#FFFFFF	325
45	#FFFFFF	890
46	#FFFFFF	84
47	#FFFFFF	84
48	#FFFFFF	84
49	#FFFFFF	84
50	#FFFFFF	84
51	#FFFFFF	84
52	#FFFFFF	84
53	#FFFFFF	84
54	#FFFFFF	84
55	#FFFFFF	84
56	#FFFFFF	84
57	#FFFFFF	84
58	#FFFFFF	84
59	#FFFFFF	84
60	#FFFFFF	84
61	#FFFFFF	325
62	#FFFFFF	325
63	#FFFFFF	325
64	#FFFFFF	84
65	#FFFFFF	325
66	#FFFFFF	325
67	#FFFFFF	325
68	#FFFFFF	325
69	#FFFFFF	325
70	#FFFFFF	325
71	#FFFFFF	1395
72	#FFFFFF	1395
73	#FFFFFF	325
74	#FFFFFF	325
75	#FFFFFF	84
76	#FFFFFF	325
79	#FFFFFF	325
80	#FFFFFF	1077
81	#FFFFFF	214
82	#FFFFFF	214
83	#FFFFFF	214
84	#FFFFFF	214
85	#FFFFFF	214
86	#FFFFFF	84
87	#FFFFFF	214
88	#FFFFFF	214
89	#FFFFFF	214
90	#FFFFFF	214
91	#FFFFFF	214
92	#FFFFFF	214
93	#FFFFFF	325
94	#FFFFFF	325
95	#FFFFFF	890
96	#FFFFFF	325
97	#FFFFFF	84
98	#FFFFFF	84
99	#FFFFFF	84
100	#FFFFFF	84
101	#FFFFFF	84
102	#FFFFFF	84
103	#FFFFFF	84
104	#FFFFFF	84
105	#FFFFFF	84
106	#FFFFFF	84
107	#FFFFFF	84
108	#FFFFFF	84
109	#FFFFFF	84
110	#FFFFFF	84
111	#FFFFFF	84
112	#FFFFFF	325
114	#FFFFFF	325
115	#FFFFFF	84
116	#FFFFFF	325
117	#FFFFFF	325
118	#FFFFFF	325
119	#FFFFFF	325
120	#FFFFFF	325
121	#FFFFFF	325
122	#FFFFFF	1395
123	#FFFFFF	1395
124	#FFFFFF	325
125	#FFFFFF	325
126	#FFFFFF	84
127	#FFFFFF	325
128	#FFFFFF	991
130	#FFFFFF	1077
131	#FFFFFF	1077
132	#FFFFFF	214
133	#FFFFFF	214
134	#FFFFFF	214
135	#FFFFFF	214
136	#FFFFFF	214
137	#FFFFFF	84
138	#FFFFFF	214
139	#FFFFFF	214
140	#FFFFFF	325
141	#FFFFFF	214
142	#FFFFFF	214
143	#FFFFFF	325
144	#FFFFFF	325
145	#FFFFFF	890
146	#FFFFFF	325
147	#FFFFFF	84
148	#FFFFFF	84
149	#FFFFFF	84
150	#FFFFFF	84
151	#FFFFFF	84
152	#FFFFFF	16
153	#FFFFFF	84
154	#FFFFFF	84
155	#FFFFFF	16
156	#FFFFFF	16
157	#FFFFFF	16
158	#FFFFFF	16
159	#FFFFFF	16
160	#FFFFFF	16
161	#FFFFFF	16
162	#FFFFFF	16
163	#FFFFFF	16
164	#FFFFFF	16
165	#FFFFFF	84
166	#FFFFFF	23
167	#FFFFFF	23
168	#FFFFFF	23
169	#FFFFFF	23
170	#FFFFFF	23
171	#FFFFFF	23
172	#FFFFFF	1129
173	#FFFFFF	1129
174	#FFFFFF	325
175	#FFFFFF	325
176	#FFFFFF	84
177	#FFFFFF	325
178	#FFFFFF	325
179	#FFFFFF	325
180	#FFFFFF	1129
181	#FFFFFF	1129
182	#FFFFFF	1129
183	#FFFFFF	1129
184	#FFFFFF	1129
185	#FFFFFF	325
186	#FFFFFF	325
187	#FFFFFF	16
190	#FFFFFF	92
191	#FFFFFF	325
192	#FFFFFF	325
193	#FFFFFF	325
194	#FFFFFF	92
195	#FFFFFF	325
196	#FFFFFF	325
197	#FFFFFF	325
198	#FFFFFF	16
199	#FFFFFF	84
200	#FFFFFF	16
201	#FFFFFF	16
202	#FFFFFF	84
203	#FFFFFF	84
204	#FFFFFF	84
205	#FFFFFF	84
206	#FFFFFF	16
207	#FFFFFF	16
208	#FFFFFF	16
209	#FFFFFF	16
210	#FFFFFF	16
211	#FFFFFF	16
212	#FFFFFF	16
213	#FFFFFF	16
214	#FFFFFF	16
215	#FFFFFF	23
216	#FFFFFF	16
217	#FFFFFF	23
218	#FFFFFF	23
219	#FFFFFF	23
220	#FFFFFF	23
221	#FFFFFF	23
222	#FFFFFF	23
223	#FFFFFF	1129
224	#FFFFFF	1129
225	#FFFFFF	1129
226	#FFFFFF	325
227	#FFFFFF	16
228	#FFFFFF	325
229	#FFFFFF	325
230	#FFFFFF	1129
231	#FFFFFF	1129
232	#FFFFFF	1129
234	#FFFFFF	1129
235	#FFFFFF	1129
236	#FFFFFF	325
237	#FFFFFF	325
238	#FFFFFF	16
241	#FFFFFF	92
242	#FFFFFF	92
243	#FFFFFF	325
244	#FFFFFF	325
245	#FFFFFF	92
246	#FFFFFF	92
247	#FFFFFF	325
248	#FFFFFF	84
249	#FFFFFF	16
250	#FFFFFF	16
251	#FFFFFF	16
252	#FFFFFF	84
253	#FFFFFF	84
254	#FFFFFF	84
255	#FFFFFF	84
256	#FFFFFF	84
257	#FFFFFF	16
258	#FFFFFF	16
259	#FFFFFF	16
260	#FFFFFF	16
261	#FFFFFF	16
262	#FFFFFF	16
263	#FFFFFF	16
264	#FFFFFF	16
265	#FFFFFF	16
266	#FFFFFF	84
267	#FFFFFF	23
268	#FFFFFF	23
269	#FFFFFF	23
270	#FFFFFF	23
271	#FFFFFF	23
272	#FFFFFF	23
273	#FFFFFF	23
274	#FFFFFF	1129
275	#FFFFFF	1129
276	#FFFFFF	325
277	#FFFFFF	16
278	#FFFFFF	325
279	#FFFFFF	325
280	#FFFFFF	325
281	#FFFFFF	1129
282	#FFFFFF	1129
283	#FFFFFF	1129
284	#FFFFFF	3246
285	#FFFFFF	3246
286	#FFFFFF	325
287	#FFFFFF	325
288	#FFFFFF	16
289	#FFFFFF	325
292	#FFFFFF	92
293	#FFFFFF	92
294	#FFFFFF	92
295	#FFFFFF	325
296	#FFFFFF	92
297	#FFFFFF	325
298	#FFFFFF	325
299	#FFFFFF	16
300	#FFFFFF	84
301	#FFFFFF	16
302	#FFFFFF	16
303	#FFFFFF	16
304	#FFFFFF	84
305	#FFFFFF	84
306	#FFFFFF	84
307	#FFFFFF	84
308	#FFFFFF	16
309	#FFFFFF	16
310	#FFFFFF	16
311	#FFFFFF	16
312	#FFFFFF	16
313	#FFFFFF	16
314	#FFFFFF	16
315	#FFFFFF	16
316	#FFFFFF	16
317	#FFFFFF	84
318	#FFFFFF	23
319	#FFFFFF	23
