xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-41.45	-40.55	-2.23714916430148	0	10250,0	1	0
-40.45	-39.55	-1.83349101229896	0	10250,0	2	0
-39.45	-38.55	-4.52475559760328	0	10250,0	3	0
-37.45	-36.55	-3.37937559129612	0	10250,0	5	1
-36.45	-35.55	-3.98927783033743	0	10250,0	6	1
-34.45	-33.55	-0.185430463576159	0	10250,0	8	2
-30.45	-29.55	-0.695679596341848	0	10250,0	12	5
-25.45	-24.55	-0.145695364238411	0	10250,0	17	9
-24.45	-23.55	-1.11888994008199	0	10250,0	18	9
-23.45	-22.55	-0.264269946389152	0	10250,0	19	9
-21.45	-20.55	-0.219489120151372	0	10250,0	21	10
-20.45	-19.55	-0.325449385052034	0	10250,0	22	10
-19.45	-18.55	-2.69757174392936	0	10250,0	23	10
-18.45	-17.55	-1.80321665089877	0	10250,0	24	10
-17.45	-16.55	-5.41091138442132	0	10250,0	25	10
-16.45	-15.55	-0.302743614001892	0	10250,0	26	10
-15.45	-14.55	-0.0681173131504257	0	10250,0	27	10
-14.45	-13.55	-4.10722169662567	0	10250,0	28	10
-13.45	-12.55	-1.67139703563545	0	10250,0	29	10
-12.45	-11.55	-0.602964364553769	0	10250,0	30	10
-11.45	-10.55	-2.86092715231788	0	10250,0	31	10
-10.45	-9.55	-0.0618101545253863	0	10250,0	32	10
-2.45	-1.55	-0.476190476190476	0	10250,0	38	15
-1.45	-0.55	-0.10722169662567	0	10250,0	39	15
-0.45	0.45	-1.53200883002208	0	10250,0	40	15
0.55	1.45	-1.6474298328603	0	10250,0	41	15
1.55	2.45	-0.225165562913907	0	10250,0	42	15
-45.45	-44.55	-0.543677073478398	0	10300,0	45	17
-43.45	-42.55	-0.367707347839798	0	10300,0	47	18
-40.45	-39.55	-1.42920214443393	0	10300,0	49	19
-39.45	-38.55	-1.00220750551876	0	10300,0	50	19
-38.45	-37.55	-0.659728792179123	0	10300,0	51	19
-37.45	-36.55	-1.73699148533586	0	10300,0	52	19
-36.45	-35.55	-2	0	10300,0	53	19
-35.45	-34.55	-4.24093345947651	0	10300,0	54	19
-34.45	-33.55	-2.82056133711763	0	10300,0	55	19
-33.45	-32.55	-0.876695048880479	0	10300,0	56	19
-31.45	-30.55	-0.380321665089877	0	10300,0	58	20
-30.45	-29.55	-0.699463891516872	0	10300,0	59	20
-29.45	-28.55	-1.10879848628193	0	10300,0	60	20
-28.45	-27.55	-1.78744875433617	0	10300,0	61	20
-27.45	-26.55	-0.075685903500473	0	10300,0	62	20
-25.45	-24.55	-0.0182907600126143	0	10300,0	64	21
-22.45	-21.55	-0.138126773888363	0	10300,0	67	23
-20.45	-19.55	-0.126143172500788	0	10300,0	69	24
-16.45	-15.55	-0.457269000315358	0	10300,0	73	27
-15.45	-14.55	-0.30715862503942	0	10300,0	74	27
-11.45	-10.55	-0.311573636076947	0	10300,0	78	30
-9.45	-8.55	-0.0788394828129928	0	10300,0	80	31
-8.45	-7.55	-0.0403658152002523	0	10300,0	81	31
-3.45	-2.55	-1.28981393882056	0	10300,0	86	35
-1.45	-0.55	-0.210659098076317	0	10300,0	88	36
-0.45	0.45	-1.65625985493535	0	10300,0	89	36
0.55	1.45	-4.08893093661306	0	10300,0	90	36
2.55	3.45	-2.46672973825292	0	10300,0	92	37
3.55	4.45	-2.05298013245033	0	10300,0	93	37
4.55	5.45	-2.78713339640492	0	10300,0	94	37
-45.45	-44.55	-0.543677073478398	0	10300,50	95	37
-43.45	-42.55	-0.367707347839798	0	10300,50	97	38
-40.45	-39.55	-1.42920214443393	0	10300,50	99	39
-39.45	-38.55	-1.00220750551876	0	10300,50	100	39
-38.45	-37.55	-0.659728792179123	0	10300,50	101	39
-37.45	-36.55	-1.73699148533586	0	10300,50	102	39
-36.45	-35.55	-2	0	10300,50	103	39
-35.45	-34.55	-4.24093345947651	0	10300,50	104	39
-34.45	-33.55	-2.82056133711763	0	10300,50	105	39
-33.45	-32.55	-0.876695048880479	0	10300,50	106	39
-31.45	-30.55	-0.380321665089877	0	10300,50	108	40
-30.45	-29.55	-0.699463891516872	0	10300,50	109	40
-29.45	-28.55	-1.10879848628193	0	10300,50	110	40
-28.45	-27.55	-1.78744875433617	0	10300,50	111	40
-27.45	-26.55	-0.075685903500473	0	10300,50	112	40
-25.45	-24.55	-0.0182907600126143	0	10300,50	114	41
-22.45	-21.55	-0.138126773888363	0	10300,50	117	43
-20.45	-19.55	-0.126143172500788	0	10300,50	119	44
-16.45	-15.55	-0.457269000315358	0	10300,50	123	47
-15.45	-14.55	-0.30715862503942	0	10300,50	124	47
-11.45	-10.55	-0.311573636076947	0	10300,50	128	50
-9.45	-8.55	-0.0788394828129928	0	10300,50	130	51
-8.45	-7.55	-0.0403658152002523	0	10300,50	131	51
-3.45	-2.55	-1.28981393882056	0	10300,50	136	55
-1.45	-0.55	-0.210659098076317	0	10300,50	138	56
-0.45	0.45	-1.65625985493535	0	10300,50	139	56
0.55	1.45	-4.08893093661306	0	10300,50	140	56
2.55	3.45	-2.46672973825292	0	10300,50	142	57
3.55	4.45	-2.05298013245033	0	10300,50	143	57
4.55	5.45	-2.78713339640492	0	10300,50	144	57
-44.45	-43.55	-2.78650268054242	0	10350,50	145	57
-43.45	-42.55	-1.46263008514664	0	10350,50	146	57
-41.45	-40.55	-3.42100283822138	0	10350,50	148	58
-40.45	-39.55	-0.686218858404289	0	10350,50	149	58
-39.45	-38.55	-0.575212866603595	0	10350,50	150	58
-38.45	-37.55	-0.494481236203091	0	10350,50	151	58
-37.45	-36.55	0	0	10350,50	152	58
-35.45	-34.55	-0.652160201829076	0	10350,50	154	59
-32.45	-31.55	-1.15547146010722	0	10350,50	157	61
-29.45	-28.55	-0.398612425102491	0	10350,50	160	63
-28.45	-27.55	-2.74424471775465	0	10350,50	161	63
-27.45	-26.55	-0.832544938505204	0	10350,50	162	63
-25.45	-24.55	-3.03374329864396	0	10350,50	164	64
-21.45	-20.55	-1.22548092084516	0	10350,50	168	67
-19.45	-18.55	-0.524124881740776	0	10350,50	170	68
-16.45	-15.55	-0.105329549038158	0	10350,50	173	70
-15.45	-14.55	-1.89845474613687	0	10350,50	174	70
-14.45	-13.55	-0.717754651529486	0	10350,50	175	70
-13.45	-12.55	-0.485651214128035	0	10350,50	176	70
-12.45	-11.55	-2.10848312835068	0	10350,50	177	70
-6.45	-5.55	-0.0403658152002523	0	10350,50	183	75
-4.45	-3.55	-0.423210343740145	0	10350,50	185	76
-2.45	-1.55	-0.157048249763482	0	10350,50	187	77
-1.45	-0.55	-1.09618416903185	0	10350,50	188	77
3.55	4.45	-1.3118889940082	0	10350,50	193	81
-44.45	-43.55	-2.78650268054242	0	10350,100	194	81
-43.45	-42.55	-1.46263008514664	0	10350,100	195	81
-41.45	-40.55	-3.42100283822138	0	10350,100	197	82
