group	x	y	clickSelects
3286	-44.75	48.25	203
3286	-44.75	48.75	203
3286	-44.25	49.25	203
3286	-43.75	49.25	203
3286	-43.25	48.75	203
3286	-43.25	48.25	203
3286	-43.75	47.75	203
3286	-44.25	47.75	203
3286	-44.75	48.25	203
3287	-44.75	45.25	203
3287	-44.75	45.75	203
3287	-43.75	46.75	203
3287	-43.25	46.75	203
3287	-43.25	45.75	203
3287	-41.75	44.25	203
3287	-41.25	44.25	203
3287	-40.75	44.75	203
3287	-40.75	45.75	203
3287	-40.25	46.25	203
3287	-39.75	46.25	203
3287	-39.25	45.75	203
3287	-38.25	45.75	203
3287	-37.75	45.25	203
3287	-37.75	44.25	203
3287	-36.75	44.25	203
3287	-36.75	43.25	203
3287	-36.25	43.25	203
3287	-34.25	45.25	203
3287	-34.25	45.75	203
3287	-34.75	45.75	203
3287	-35.75	44.75	203
3287	-36.25	44.75	203
3287	-36.75	45.25	203
3287	-36.75	46.25	203
3287	-37.75	46.25	203
3287	-38.25	46.75	203
3287	-38.25	47.25	203
3287	-37.75	47.75	203
3287	-37.75	48.25	203
3287	-40.75	48.25	203
3287	-41.25	48.75	203
3287	-41.25	49.25	203
3287	-34.75	49.25	203
3287	-34.75	48.75	203
3287	-35.25	48.25	203
3287	-35.25	47.75	203
3287	-34.25	46.75	203
3287	-33.25	46.75	203
3287	-32.75	46.25	203
3287	-32.75	45.25	203
3287	-32.25	44.75	203
3287	-32.25	43.75	203
3287	-31.75	43.75	203
3287	-31.25	44.25	203
3287	-30.75	44.25	203
3287	-30.25	43.75	203
3287	-30.25	43.25	203
3287	-31.25	43.25	203
3287	-31.75	42.75	203
3287	-31.75	41.75	203
3287	-32.75	40.75	203
3287	-32.75	40.25	203
3287	-31.75	39.25	203
3287	-31.75	38.75	203
3287	-32.75	38.75	203
3287	-32.75	37.75	203
3287	-33.25	37.25	203
3287	-33.25	35.75	203
3287	-32.75	35.25	203
3287	-31.75	35.25	203
3287	-31.75	34.75	203
3287	-32.25	34.25	203
3287	-32.25	33.75	203
3287	-31.75	33.75	203
3287	-30.25	35.25	203
3287	-29.75	35.25	203
3287	-28.75	34.25	203
3287	-27.75	34.25	203
3287	-26.75	33.25	203
3287	-25.25	33.25	203
3287	-25.25	33.75	203
3287	-28.25	36.75	203
3287	-28.25	37.25	203
3287	-26.25	37.25	203
3287	-25.75	37.75	203
3287	-25.25	37.75	203
3287	-24.75	37.25	203
3287	-24.25	37.25	203
3287	-23.25	38.25	203
3287	-23.25	38.75	203
3287	-23.75	39.25	203
3287	-23.75	40.25	203
3287	-24.25	40.75	203
3287	-24.75	40.75	203
3287	-25.75	39.75	203
3287	-26.25	39.75	203
3287	-26.75	40.25	203
3287	-27.25	40.25	203
3287	-27.75	39.75	203
3287	-27.75	38.75	203
3287	-29.25	38.75	203
3287	-30.25	39.75	203
3287	-30.25	40.75	203
3287	-31.25	41.75	203
3287	-31.25	42.25	203
3287	-28.75	42.25	203
3287	-28.75	41.25	203
3287	-27.25	41.25	203
3287	-26.75	41.75	203
3287	-26.25	41.75	203
3287	-26.25	40.75	203
3287	-25.75	40.75	203
3287	-24.75	41.75	203
3287	-24.75	42.25	203
3287	-25.25	42.75	203
3287	-25.25	43.25	203
3287	-23.25	45.25	203
3287	-23.25	45.75	203
3287	-23.75	46.25	203
3287	-23.75	46.75	203
3287	-23.25	47.25	203
3287	-23.25	48.25	203
3287	-22.75	48.25	203
3287	-22.25	47.75	203
3287	-21.75	47.75	203
3287	-21.75	48.25	203
3287	-22.25	48.75	203
3287	-22.25	49.25	203
3287	-20.75	49.25	203
3287	-19.25	47.75	203
3287	-18.75	47.75	203
3287	-18.25	48.25	203
3287	-18.25	49.25	203
3287	-17.75	49.25	203
3287	-17.25	48.75	203
3287	-16.25	48.75	203
3287	-16.25	47.75	203
3287	-14.25	47.75	203
3287	-13.75	47.25	203
3287	-13.75	46.75	203
3287	-14.25	46.25	203
3287	-15.25	46.25	203
3287	-15.25	44.75	203
3287	-14.75	44.75	203
3287	-14.25	45.25	203
3287	-13.75	45.25	203
3287	-13.75	44.75	203
3287	-14.25	44.25	203
3287	-14.25	43.75	203
3287	-13.25	42.75	203
3287	-13.25	42.25	203
3287	-13.75	41.75	203
3287	-14.25	41.75	203
3287	-14.75	42.25	203
3287	-15.25	42.25	203
3287	-15.75	41.75	203
3287	-16.75	41.75	203
3287	-16.75	40.25	203
3287	-16.25	39.75	203
3287	-15.75	39.75	203
3287	-15.25	40.25	203
3287	-14.75	40.25	203
3287	-14.75	38.75	203
3287	-15.25	38.25	203
3287	-15.25	37.75	203
3287	-14.75	37.25	203
3287	-13.25	37.25	203
3287	-12.25	38.25	203
3287	-12.25	39.25	203
3287	-11.75	39.75	203
3287	-11.75	40.75	203
3287	-10.75	41.75	203
3287	-10.75	42.25	203
3287	-11.25	42.75	203
3287	-11.25	43.25	203
3287	-10.25	43.25	203
3287	-9.75	43.75	203
3287	-9.75	45.25	203
3287	-10.25	45.75	203
3287	-13.25	45.75	203
3287	-13.25	46.25	203
3287	-12.25	47.25	203
3287	-11.75	47.25	203
3287	-11.25	46.75	203
3287	-10.75	46.75	203
3287	-10.25	47.25	203
3287	-10.25	47.75	203
3287	-10.75	48.25	203
3287	-10.75	48.75	203
3287	-10.25	48.75	203
3287	-9.25	47.75	203
3287	-8.75	47.75	203
3287	-8.25	48.25	203
3287	-8.25	49.25	203
3287	-3.75	49.25	203
3287	-3.75	48.75	203
3287	-4.25	48.25	203
3287	-6.25	48.25	203
3287	-6.25	47.75	203
3287	-5.75	47.25	203
3287	-5.75	46.75	203
3287	-7.25	46.75	203
3287	-7.75	47.25	203
3287	-8.25	47.25	203
3287	-8.25	46.75	203
3287	-7.75	46.25	203
3287	-7.75	45.25	203
3287	-7.25	44.75	203
3287	-7.25	44.25	203
3287	-7.75	44.25	203
3287	-8.25	44.75	203
3287	-8.75	44.75	203
3287	-8.75	44.25	203
3287	-7.75	43.25	203
3287	-6.75	43.25	203
3287	-6.75	42.75	203
3287	-7.75	41.75	203
3287	-7.75	38.25	203
3287	-6.75	38.25	203
3287	-6.75	37.25	203
3287	-5.75	37.25	203
3287	-5.25	36.75	203
3287	-4.75	36.75	203
3287	-4.75	37.25	203
3287	-5.75	38.25	203
3287	-5.75	38.75	203
3287	-5.25	38.75	203
3287	-4.25	37.75	203
3287	-3.25	37.75	203
3287	-2.75	37.25	203
3287	-2.75	36.75	203
3287	-3.25	36.25	203
3287	-3.25	35.25	203
3287	-3.75	34.75	203
3287	-3.75	33.75	203
3287	-4.25	33.75	203
3287	-4.75	34.25	203
3287	-5.25	34.25	203
3287	-5.75	33.75	203
3287	-5.75	33.25	203
3287	-5.25	32.75	203
3287	-5.25	32.25	203
3287	-6.25	32.25	203
3287	-6.25	31.25	203
3287	-7.25	31.25	203
3287	-7.25	30.75	203
3287	-6.75	30.25	203
3287	-5.75	30.25	203
3287	-5.75	29.75	203
3287	-6.25	29.25	203
3287	-7.25	29.25	203
3287	-7.25	27.75	203
3287	-5.75	27.75	203
3287	-5.75	28.75	203
3287	-5.25	28.75	203
3287	-4.75	28.25	203
3287	-4.75	27.75	203
3287	-5.25	27.25	203
3287	-5.25	25.75	203
3287	-4.75	25.75	203
3287	-4.25	26.25	203
3287	-4.25	27.25	203
3287	-3.75	27.75	203
3287	-3.75	28.25	203
3287	-4.25	28.75	203
3287	-4.25	29.25	203
3287	-3.75	29.25	203
3287	-3.25	28.75	203
3287	-2.75	28.75	203
3287	-2.25	29.25	203
3287	-1.75	29.25	203
3287	-1.75	25.75	203
3287	-2.25	25.25	203
3287	-2.75	25.25	203
3287	-3.25	25.75	203
3287	-3.75	25.75	203
3287	-3.75	24.25	203
3287	-2.75	24.25	203
3287	-2.75	23.75	203
3287	-3.75	22.75	203
3287	-3.75	20.75	203
3287	-4.75	20.75	203
3287	-4.75	19.75	203
3287	-5.25	19.25	203
3287	-5.75	19.25	203
3287	-6.75	20.25	203
3287	-7.25	20.25	203
3287	-7.25	19.25	203
3287	-8.75	17.75	203
3287	-9.75	17.75	203
3287	-9.75	17.25	203
3287	-8.75	16.25	203
3287	-7.75	16.25	203
3287	-7.75	15.75	203
3287	-8.25	15.25	203
3287	-8.75	15.25	203
3287	-9.25	15.75	203
3287	-10.25	15.75	203
3287	-11.25	16.75	203
3287	-11.75	16.75	203
3287	-11.75	16.25	203
3287	-11.25	15.75	203
3287	-11.25	15.25	203
3287	-12.25	15.25	203
3287	-12.25	14.25	203
3287	-13.25	13.25	203
3287	-13.75	13.25	203
3287	-14.25	13.75	203
3287	-14.75	13.75	203
3287	-14.75	13.25	203
3287	-13.75	12.25	203
3287	-13.25	12.25	203
3287	-12.75	12.75	203
3287	-12.25	12.75	203
3287	-12.25	12.25	203
3287	-13.25	11.25	203
3287	-13.25	10.25	203
3287	-14.75	10.25	203
3287	-14.75	11.25	203
3287	-15.25	11.75	203
3287	-15.75	11.75	203
3287	-15.75	10.75	203
3287	-16.25	10.25	203
3287	-17.25	10.25	203
3287	-17.25	8.75	203
3287	-16.25	8.75	203
3287	-16.25	8.25	203
3287	-16.75	7.75	203
3287	-17.25	7.75	203
3287	-17.75	8.25	203
3287	-18.25	8.25	203
3287	-19.25	7.25	203
3287	-19.25	6.75	203
3287	-18.75	6.25	203
3287	-18.75	5.75	203
3287	-19.75	5.75	203
3287	-19.75	4.75	203
3287	-20.25	4.75	203
