group	label	showSelected1
1	Cluster 16: 855/3671 pixels shown, logFC -4.2 to 4.2, log10(p) 0.0 to 3.4	16
1	Cluster 24: 753/3270 pixels shown, logFC -4.4 to 4.2, log10(p) 0.0 to 3.3	24
1	Cluster 28: 60/483 pixels shown, logFC -4.0 to 2.6, log10(p) 0.0 to 2.1	28
1	Cluster 84: 1276/2086 pixels shown, logFC -3.4 to 3.9, log10(p) 0.0 to 3.6	84
1	Cluster 118: 703/6298 pixels shown, logFC -4.6 to 3.9, log10(p) 0.0 to 2.9	118
1	Cluster 164: 64/69 pixels shown, logFC -4.2 to 0.7, log10(p) 0.0 to 2.0	164
1	Cluster 253: 268/2063 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 7.5	253
1	Cluster 279: 74/176 pixels shown, logFC -2.6 to 4.2, log10(p) 0.0 to 4.3	279
1	Cluster 371: 127/142 pixels shown, logFC -1.9 to 4.4, log10(p) 0.0 to 2.3	371
1	Cluster 393: 8/446 pixels shown, logFC -3.5 to 3.6, log10(p) 0.0 to 3.5	393
1	Cluster 407: 130/230 pixels shown, logFC -3.5 to 2.9, log10(p) 0.0 to 2.5	407
1	Cluster 464: 144/200 pixels shown, logFC -2.1 to 3.3, log10(p) 0.0 to 2.5	464
1	Cluster 609: 2/6 pixels shown, logFC 0.7 to 3.9, log10(p) 0.2 to 1.7	609
1	Cluster 688: 85/96 pixels shown, logFC -0.8 to 4.4, log10(p) 0.0 to 3.2	688
1	Cluster 741: 23/89 pixels shown, logFC -1.0 to 2.6, log10(p) 0.0 to 2.5	741
1	Cluster 747: 27/182 pixels shown, logFC -3.8 to 2.3, log10(p) 0.0 to 3.3	747
1	Cluster 816: 34/34 pixels shown, logFC -4.0 to 0.1, log10(p) 0.0 to 2.3	816
1	Cluster 993: 6/6 pixels shown, logFC -3.8 to -1.1, log10(p) 0.3 to 1.5	993
1	Cluster 1054: 65/65 pixels shown, logFC -1.0 to 2.9, log10(p) 0.0 to 3.5	1054
1	Cluster 1089: 15/15 pixels shown, logFC -0.2 to 3.3, log10(p) 0.1 to 2.1	1089
1	Cluster 1356: 3/32 pixels shown, logFC -1.1 to 2.7, log10(p) 0.0 to 2.9	1356
1	Cluster 1440: 19/38 pixels shown, logFC -1.3 to 2.6, log10(p) 0.0 to 1.5	1440
1	Cluster 1735: 23/23 pixels shown, logFC -1.5 to 3.3, log10(p) 0.0 to 1.4	1735
1	Cluster 1811: 3/3 pixels shown, logFC 1.0 to 3.6, log10(p) 0.4 to 1.7	1811
1	Cluster 1985: 33/33 pixels shown, logFC -0.5 to 2.2, log10(p) 0.0 to 3.0	1985
1	Cluster 2367: 45/45 pixels shown, logFC -1.8 to 2.0, log10(p) 0.0 to 2.4	2367
1	Cluster 2616: 4/4 pixels shown, logFC 2.0 to 3.6, log10(p) 0.5 to 1.5	2616
1	Cluster 3367: 18/18 pixels shown, logFC 0.2 to 1.8, log10(p) 0.1 to 1.2	3367
1	Cluster 3469: 20/20 pixels shown, logFC -0.5 to 3.3, log10(p) 0.0 to 2.0	3469
1	Cluster 3531: 1/1 pixels shown, logFC 4.2 to 4.2, log10(p) 2.1 to 2.1	3531
